YEAR,MONTH,DATE,è„íÜâ∫è{,TIME,ójì˙,ìdóÕé˘óv(ñúkW),ãCâ∑(Åé),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ëäëŒéºìx(Åì)
2016,Apr,1,è„,0:00,FRI,2555,14.5,0,0,68
2016,Apr,1,è„,1:00,FRI,2433,13.3,0,0,76
2016,Apr,1,è„,2:00,FRI,2393,13.8,0,0,72
2016,Apr,1,è„,3:00,FRI,2375,13,0,0,63
2016,Apr,1,è„,4:00,FRI,2390,12.2,0,0,67
2016,Apr,1,è„,5:00,FRI,2467,11.2,0,0,69
2016,Apr,1,è„,6:00,FRI,2631,10.8,0,0,67
2016,Apr,1,è„,7:00,FRI,2775,12.1,0,0.6,56
2016,Apr,1,è„,8:00,FRI,2965,13.8,0,0.5,50
2016,Apr,1,è„,9:00,FRI,3159,15.3,0,1,45
2016,Apr,1,è„,10:00,FRI,3211,16.7,0,0.8,44
2016,Apr,1,è„,11:00,FRI,3265,16.9,0,0.4,43
2016,Apr,1,è„,12:00,FRI,3160,17.2,0,0.5,47
2016,Apr,1,è„,13:00,FRI,3288,17,0,0.5,48
2016,Apr,1,è„,14:00,FRI,3361,15.7,0,0,49
2016,Apr,1,è„,15:00,FRI,3362,14.3,0,0,58
2016,Apr,1,è„,16:00,FRI,3406,13,0,0,61
2016,Apr,1,è„,17:00,FRI,3438,12.2,0,0,65
2016,Apr,1,è„,18:00,FRI,3501,11.4,0,0,67
2016,Apr,1,è„,19:00,FRI,3381,11.1,0,0,68
2016,Apr,1,è„,20:00,FRI,3242,10.9,0,0,63
2016,Apr,1,è„,21:00,FRI,3084,9.5,0,0,81
2016,Apr,1,è„,22:00,FRI,2973,8.5,1.5,0,83
2016,Apr,1,è„,23:00,FRI,2811,8.2,1,0,82
2016,Apr,2,è„,0:00,SAT,2613,8.4,0,0,80
2016,Apr,2,è„,1:00,SAT,2492,8.2,1,0,81
2016,Apr,2,è„,2:00,SAT,2431,8.1,0,0,78
2016,Apr,2,è„,3:00,SAT,2403,8.4,0.5,0,76
2016,Apr,2,è„,4:00,SAT,2390,8.8,0,0,72
2016,Apr,2,è„,5:00,SAT,2432,8.8,0,0,69
2016,Apr,2,è„,6:00,SAT,2543,8.9,0,0,67
2016,Apr,2,è„,7:00,SAT,2734,9.2,0,0,61
2016,Apr,2,è„,8:00,SAT,3019,9.7,0,0,61
2016,Apr,2,è„,9:00,SAT,3225,9.8,0,0,62
2016,Apr,2,è„,10:00,SAT,3258,10.1,0,0,62
2016,Apr,2,è„,11:00,SAT,3239,10.4,0,0,61
2016,Apr,2,è„,12:00,SAT,3167,10.8,0,0,62
2016,Apr,2,è„,13:00,SAT,3112,11.5,0,0,57
2016,Apr,2,è„,14:00,SAT,3049,12.1,0,0,59
2016,Apr,2,è„,15:00,SAT,3043,12.7,0,0,57
2016,Apr,2,è„,16:00,SAT,3098,12.7,0,0,58
2016,Apr,2,è„,17:00,SAT,3216,12.6,0,0,63
2016,Apr,2,è„,18:00,SAT,3328,12.2,0,0,66
2016,Apr,2,è„,19:00,SAT,3276,11.9,0,0,67
2016,Apr,2,è„,20:00,SAT,3173,11.5,0,0,66
2016,Apr,2,è„,21:00,SAT,3007,11.3,0,0,70
2016,Apr,2,è„,22:00,SAT,2856,11.1,0,0,74
2016,Apr,2,è„,23:00,SAT,2674,10.9,0,0,77
2016,Apr,3,è„,0:00,SUN,2455,10,0,0,95
2016,Apr,3,è„,1:00,SUN,2325,10,0.5,0,97
2016,Apr,3,è„,2:00,SUN,2280,10,0.5,0,98
2016,Apr,3,è„,3:00,SUN,2265,9.8,0.5,0,99
2016,Apr,3,è„,4:00,SUN,2253,9.9,0,0,98
2016,Apr,3,è„,5:00,SUN,2276,9.7,0,0,98
2016,Apr,3,è„,6:00,SUN,2330,9.8,0.5,0,98
2016,Apr,3,è„,7:00,SUN,2493,9.7,0.5,0,98
2016,Apr,3,è„,8:00,SUN,2700,10.2,0.5,0,99
2016,Apr,3,è„,9:00,SUN,2832,10.6,0.5,0,99
2016,Apr,3,è„,10:00,SUN,2835,11.3,0,0,99
2016,Apr,3,è„,11:00,SUN,2833,12,0.5,0,98
2016,Apr,3,è„,12:00,SUN,2820,12.8,0,0,98
2016,Apr,3,è„,13:00,SUN,2738,13.5,0,0,95
2016,Apr,3,è„,14:00,SUN,2694,14.8,0,0,88
2016,Apr,3,è„,15:00,SUN,2684,15.9,0,0,87
2016,Apr,3,è„,16:00,SUN,2755,16.6,0,0,81
2016,Apr,3,è„,17:00,SUN,2920,16.5,0,0,76
2016,Apr,3,è„,18:00,SUN,3132,16.2,0,0,78
2016,Apr,3,è„,19:00,SUN,3114,16.1,0,0,79
2016,Apr,3,è„,20:00,SUN,3020,16.1,0,0,78
2016,Apr,3,è„,21:00,SUN,2860,16.2,0,0,74
2016,Apr,3,è„,22:00,SUN,2690,15.8,0,0,75
2016,Apr,3,è„,23:00,SUN,2494,16,0,0,77
2016,Apr,4,è„,0:00,MON,2304,16,0,0,81
2016,Apr,4,è„,1:00,MON,2206,15.8,0,0,81
2016,Apr,4,è„,2:00,MON,2179,14.8,0,0,96
2016,Apr,4,è„,3:00,MON,2189,14.4,0.5,0,100
2016,Apr,4,è„,4:00,MON,2216,14.9,0.5,0,100
2016,Apr,4,è„,5:00,MON,2320,15.4,1.5,0,100
2016,Apr,4,è„,6:00,MON,2528,15.7,0.5,0,100
2016,Apr,4,è„,7:00,MON,2835,16,2.5,0,100
2016,Apr,4,è„,8:00,MON,3168,17.3,0.5,0,100
2016,Apr,4,è„,9:00,MON,3418,18.4,0,0,97
2016,Apr,4,è„,10:00,MON,3480,18.5,1,0,96
2016,Apr,4,è„,11:00,MON,3422,16.2,1,0,98
2016,Apr,4,è„,12:00,MON,3200,17.2,0,0.2,88
2016,Apr,4,è„,13:00,MON,3323,20.6,0,0.3,77
2016,Apr,4,è„,14:00,MON,3322,21.2,0,0.1,66
