YEAR,MONTH,DATE,è„íÜâ∫è{,TIME,ójì˙,ìdóÕé˘óv(ñúkW),ãCâ∑(Åé),ç~êÖó (mm),ì˙è∆éûä‘(éûä‘),ëäëŒéºìx(Åì)
2019,Jan,1,è„,0:00,TUE,3017,2.7,0,0,54
2019,Jan,1,è„,1:00,TUE,2849,1.4,0,0,61
2019,Jan,1,è„,2:00,TUE,2730,2.1,0,0,58
2019,Jan,1,è„,3:00,TUE,2636,1.5,0,0,59
2019,Jan,1,è„,4:00,TUE,2579,1.4,0,0,59
2019,Jan,1,è„,5:00,TUE,2592,1.1,0,0,59
2019,Jan,1,è„,6:00,TUE,2726,2.5,0,0,51
2019,Jan,1,è„,7:00,TUE,2905,1.5,0,0,53
2019,Jan,1,è„,8:00,TUE,3014,3.1,0,0.5,50
2019,Jan,1,è„,9:00,TUE,2886,5.8,0,1,40
2019,Jan,1,è„,10:00,TUE,2713,7.1,0,1,38
2019,Jan,1,è„,11:00,TUE,2564,8.6,0,1,33
2019,Jan,1,è„,12:00,TUE,2472,9.6,0,1,34
2019,Jan,1,è„,13:00,TUE,2421,10.2,0,1,33
2019,Jan,1,è„,14:00,TUE,2426,10.2,0,1,30
2019,Jan,1,è„,15:00,TUE,2501,9.2,0,1,45
2019,Jan,1,è„,16:00,TUE,2736,8.6,0,1,45
2019,Jan,1,è„,17:00,TUE,3052,6.4,0,0.4,52
2019,Jan,1,è„,18:00,TUE,3141,6.2,0,0,59
2019,Jan,1,è„,19:00,TUE,3160,6,0,0,60
2019,Jan,1,è„,20:00,TUE,3166,5.9,0,0,70
2019,Jan,1,è„,21:00,TUE,3133,5.6,0,0,78
2019,Jan,1,è„,22:00,TUE,3011,5.5,0,0,81
2019,Jan,1,è„,23:00,TUE,2883,4.4,0,0,77
2019,Jan,2,è„,0:00,WED,2687,4.2,0,0,68
2019,Jan,2,è„,1:00,WED,2562,2.7,0,0,67
2019,Jan,2,è„,2:00,WED,2508,3,0,0,59
2019,Jan,2,è„,3:00,WED,2468,2.9,0,0,61
2019,Jan,2,è„,4:00,WED,2452,3.1,0,0,62
2019,Jan,2,è„,5:00,WED,2506,3.3,0,0,61
2019,Jan,2,è„,6:00,WED,2674,3,0,0,62
2019,Jan,2,è„,7:00,WED,2895,4.1,0,0,60
2019,Jan,2,è„,8:00,WED,3017,5.3,0,0.5,55
2019,Jan,2,è„,9:00,WED,2922,7.3,0,1,46
2019,Jan,2,è„,10:00,WED,2774,8.3,0,1,41
2019,Jan,2,è„,11:00,WED,2662,9.4,0,1,39
2019,Jan,2,è„,12:00,WED,2597,10.3,0,1,33
2019,Jan,2,è„,13:00,WED,2557,10.4,0,1,32
2019,Jan,2,è„,14:00,WED,2567,10.2,0,1,34
2019,Jan,2,è„,15:00,WED,2662,9.7,0,1,36
2019,Jan,2,è„,16:00,WED,2904,9.5,0,1,32
2019,Jan,2,è„,17:00,WED,3202,8.2,0,0.2,33
2019,Jan,2,è„,18:00,WED,3286,7.5,0,0,35
2019,Jan,2,è„,19:00,WED,3300,6.3,0,0,39
2019,Jan,2,è„,20:00,WED,3298,6.1,0,0,41
2019,Jan,2,è„,21:00,WED,3251,4.8,0,0,47
2019,Jan,2,è„,22:00,WED,3127,4.9,0,0,48
2019,Jan,2,è„,23:00,WED,3003,4.3,0,0,51
2019,Jan,3,è„,0:00,THU,2788,4.2,0,0,51
2019,Jan,3,è„,1:00,THU,2649,3.2,0,0,54
2019,Jan,3,è„,2:00,THU,2588,2.2,0,0,60
2019,Jan,3,è„,3:00,THU,2552,1.3,0,0,65
2019,Jan,3,è„,4:00,THU,2543,0.7,0,0,68
2019,Jan,3,è„,5:00,THU,2606,1.3,0,0,65
2019,Jan,3,è„,6:00,THU,2791,1.2,0,0,62
2019,Jan,3,è„,7:00,THU,3017,0.2,0,0,69
2019,Jan,3,è„,8:00,THU,3171,2.3,0,0.5,58
